AccessionID,Taxonomy,Reason
AFFK01019367.4914.6647,D_19__Strigamia maritima,Insect matching Diplogasterida 28S
AUST01037318.652.2426,D_19__Zootermopsis nevadensis,Insect matching Diplogasterida
EU815228.1.2089,D_19__Archichauliodes sp. CASENT8092159,Insecta matching Mermithidae
EF024191.1.1791,D_19__Limulidae environmental sample,Chelicerata mathing Dorylaimida
EF023486.1.1875,D_19__Limulidae environmental sample,Chelicerata mathing Dorylaimida
AY630470.1.1669,D_19__Pachytroctes maculosus,Insect macthing Mermithid
EF024622.1.1794,D_19__Poduridae environmental sample,Collembola matching Dorylaimida
EU815285.1.1804,D_19__Sialis californica,Insect macthing Mermithida
EF024214.1.1794,D_19__Sironidae environmental sample,Arachinida matching Dorylaimida
AALT02195710.1.1236,D_19__Sorex araneus (European shrew),Screw matching Trichinellida
EF023598.1.1856,D_19__Phaseoleae environmental sample,Fabacea matching Prismatolaimus
EF023206.1.1787,D_19__Schizomidae environmental sample,Arachnida matching Prismatolaimus
EF023141.1.1786,D_19__Squillidae environmental sample,Crustacea macthing Triplonchida
EF024446.1.1788,D_19__uncultured Eimeriidae,Aveolata matching Alaimus
EF023920.1.1791,D_19__uncultured Tubiluchidae sp.,Priapulida matching Triplonchida
EF023255.1.1786,D_19__uncultured Tubiluchidae sp.,Priapulida matching Triplonchida
EF023472.1.1842,D_19__Limulidae environmental sample,Chelicerata matching Monhysterida
EF024761.1.1782,D_19__Paralamyctes environmental sample,Chilopoda matching nematoda
EF024646.1.1780,D_19__Paralamyctes environmental sample,Chilopoda matching nematoda
EF024168.1.1785,D_19__Paralamyctes environmental sample,Chilopoda matching nematoda
EF023624.1.1794,D_19__Phrynidae environmental sample,Arachinada matching nematoda
EF023655.1.1775,D_19__Ricinulei environmental sample,Arachinada matching nematoda
CDPL01000116.2739.4511,D_19__Atribacteria bacterium JGI 0000014-F07,Atribacteria matching Strongylida
GCIB01000605.4278.6112,D_19__Colobanthus quitensis,Cloroplastida matching Panagrolaimidae
LKIA01002359.2953.4675,D_19__Hyaloperonospora arabidopsidis,Arabidopsis matching nematoda
LJCH01002056.608.2268,D_19__Nicrophorus vespilloides,Coleoptera matching Strongylida
MH173312.1.1663,D_19__Lethrinus lentjan (pink ear emperor),Fish matching Spirurida
CABG01000622.26.1832,D_19__Schistosoma mansoni,Trematoda matching Onchorcecidae
MH173303.1.1677,D_19__Siganus rivulatus (marbled spinefoot),Fish matching Spirurida
JMFW02008510.5055.6849,D_19__Tinamus guttatus (white-throated tinamou),Aves matching Onchocercidae
GAUE02016425.53.1597,D_19__Anurida maritima,Collembola matching Tylenchida
EU188735.1.1227,D_19__Drosophila auraria,Drosophila matching Ditylenchus
GBPI01024647.176.1990,D_19__Urocerus augur,Insecta matching Deladenus